Chiefs ' Hill helps Mahomes era off to fast start in victory	0,6,TEAM;9,13,PLAYER;20,27,PLAYER
CARSON , Calif. ( AP ) Tyreek Hill helped get the Patrick Mahomes era off to a blazing start for Kansas City .	0,6,CITY;9,15,STATE;18,20,ORG;23,34,PLAYER;50,65,PLAYER;97,108,TEAM
The speedy receiver scored three touchdowns , including two in the first quarter , as the Chiefs opened the season with a 38 - 28 victory over the Los Angeles Chargers on Sunday .	90,96,TEAM;147,167,TEAM;171,177,DATETIME
' ' You know , he 's a different animal . That 's the cheetah , '' Chiefs running back Kareem Hunt said . ' ' The guy can take off at any time of the game , at any point in the game , and it 's good like that to have a guy with speed like that on your team . ''	67,73,TEAM;87,98,PLAYER
On a day when the Chargers ' biggest concerns were Mahomes and Hunt , it was Hill 's big plays that set the tone . Hill had a 91-yard punt return for a score and a 58-yard TD reception during the first quarter to give Kansas City a 14 - 3 lead . He then added a 1-yard reception on a shovel pass for a score in the fourth quarter to put the game out of reach .	18,26,TEAM;52,58,PLAYER;63,67,PLAYER;77,81,PLAYER;115,119,PLAYER;218,229,TEAM
Hill also had 169 yards on seven receptions , which is the second - most yards by a Chiefs receiver in an opener , according to Pro Football Reference . Carlos Carson had 173 yards receiving against New Orleans in 1985 .	0,4,PLAYER;84,90,TEAM;128,150,ORG;153,166,PLAYER;199,210,TEAM;214,218,DATETIME
Mahomes , who moved into the starting spot after Alex Smith was traded to Washington in the offseason , was 15 of 27 for 256 yards as the Chiefs extended their winning streak over the Chargers to nine .	0,7,PLAYER;49,59,PLAYER;74,84,TEAM;138,144,TEAM;184,192,TEAM
' ' Tyreek really got us going with the punt return and Patrick did a nice job of running the offense , '' Kansas City coach Andy Reid said . ' ' There were a lot of great individual efforts on a hot day where we had to endure the elements . ''	4,10,PLAYER;56,63,PLAYER;107,118,TEAM;125,134,BOSS
After the Chargers got the opening kickoff but went three - and - out , Hill took Drew Kaser 's punt 91 yards for a touchdown just 1 minute , 57 seconds into the game . The third - year receiver fielded the punt near the right hash mark , but quickly found an opening up the left sideline .	10,18,TEAM;72,76,PLAYER;82,92,PLAYER
It was Hill 's fourth punt return for a touchdown in 32 games and the Chiefs ' league - leading seventh since 2013 .	7,11,PLAYER;70,76,TEAM;110,114,DATETIME
' ' Once I caught it , I was like this is wide open , '' Hill said . ' ' The punt return really got me hyped and got the rest of the offense rolling . ''	57,61,PLAYER
Chargers coach Anthony Lynn said they punted it to the far side to make it hard on Hill , but that he ended up making a good play any way .	0,8,TEAM;15,27,BOSS;83,87,PLAYER
' ' If he was going to come back across the field , surely someone could get there and make a play , '' Lynn said , ' ' but we did n't get it done . ''	104,108,BOSS
After Caleb Sturgis ' 45-yard field goal got the Chargers on the board , Mahomes threw his first touchdown pass in the NFL , connecting with Hill for 58 yards . Hill caught the pass at the Chargers 47 and eluded a diving tackle by Jahleel Addae as he found a seam up the left sideline .	6,19,PLAYER;49,57,TEAM;73,80,PLAYER;119,122,ORG;141,145,PLAYER;161,165,PLAYER;189,197,TEAM;231,244,PLAYER
