Drew Brees ' TD run in OT lifts Saints past Falcons 43 - 37	0,10,PLAYER;32,38,TEAM;44,51,TEAM
ATLANTA ( AP ) On the day he became the NFL 's career leader in completed passes , Drew Brees ' biggest plays came as a runner .	0,7,CITY;10,12,ORG;40,43,ORG;83,93,PLAYER
Brees ' 1-yard run capped an 80-yard touchdown drive to open overtime that lifted the New Orleans Saints to a 43 - 37 win over the Atlanta Falcons on Sunday .	0,5,PLAYER;86,104,TEAM;131,146,TEAM;150,156,DATETIME
That came after his 7-yard score late in the fourth quarter forced the overtime . After the Saints won the coin toss , Brees and the Saints held the ball for more than seven minutes .	92,98,TEAM;119,124,PLAYER;133,139,TEAM
Brees jumped over the pile on a quarterback keeper after his apparent 3-yard TD pass to Alvin Kamara was overturned . A review determined Kamara 's knee was down before he crossed the goal line . Brees scored on the following play , giving the Saints ( 2 - 1 ) the win .	0,5,PLAYER;88,100,PLAYER;138,144,PLAYER;196,201,PLAYER;244,250,TEAM
' ' This was a wild one , '' said Brees , who passed for 396 yards and three touchdowns and ran for two scores . Kamara had 15 catches for 124 yards and ran for 66 yards .	34,39,PLAYER;113,119,PLAYER
Brees ' biggest play before the winner might have been his improbable 7-yard scoring run with 1:15 remaining that forced overtime . He ran to his left and then spun to avoid tackle attempts by Brian Poole and Robert Alford .	0,5,PLAYER;193,204,PLAYER;209,22,PLAYER
' ' At some point , I felt they were coming to take my head off and I could probably spin out of it , '' Brees said , adding he now has film evidence to show the youth flag football team he coaches that ' ' spin moves work . Spin moves are good . ''	105,110,PLAYER
With his 14th completed pass , the 39-year - old Brees broke the record of 6,300 career completions set by Hall of Famer Brett Favre . Brees set the mark with a 17-yard pass to Michael Thomas in the second quarter .	49,54,PLAYER;107,120,AWARD;121,132,PLAYER;135,140,PLAYER;177,191,PLAYER
' ' I 'm just very grateful , '' Brees said . ' ' I hope there 's a lot more coming . I just think about all the people who have had a hand in that . A lot of hands have caught a lot of passes . ... They are all a part of this . ''	33,38,PLAYER
Atlanta 's Matt Ryan had his first career game with five scoring passes . Calvin Ridley became the first Atlanta rookie with three scoring catches . That was n't enough for the Falcons ( 1 - 2 ) against Brees and the high - scoring Saints , who gained 534 yards .	0,7,TEAM;11,20,PLAYER;74,87,PLAYER;105,112,TEAM;177,18,TEAM;203,208,PLAYER;232,238,TEAM
Ryan bemoaned a lost opportunity when the Falcons were forced to punt when stopped at the Atlanta 44 with 25 seconds remaining in overtime .	0,4,PLAYER;42,49,TEAM;90,97,TEAM
' ' We had chances to finish the game today and we did n't do that , '' Ryan said . ' ' That 's disappointing . ''	72,76,PLAYER
Saints coach Sean Payton called the defensive stop ' ' a huge part of the win . ''	0,6,TEAM;13,24,BOSS
Ryan passed for 374 yards , including 146 to Ridley , who had seven receptions , including a 75-yard TD .	0,4,PLAYER;45,51,PLAYER
