Flacco throws 2 TD passes , Ravens trip up Steelers 26 - 14	0,6,PLAYER;28,34,TEAM;43,51,TEAM
PITTSBURGH ( AP ) Eric Weddle walked into the interview room in full uniform . Then the Baltimore Ravens well - bearded safety did a little dance and made a proclamation .	0,10,CITY;13,15,ORG;18,29,PLAYER;88,104,TEAM
' ' I told you , '' Weddle said . ' ' These ai n't the same Ravens . ''	20,26,PLAYER
After two years and two painful near misses , he might be right . Baltimore can win in Pittsburgh again , fueling confidence the Ravens can win anywhere .	66,75,TEAM;87,97,TEAM;129,135,TEAM
The proof came in a cruelly efficient 26 - 14 victory over their AFC North rivals on Sunday night that looked an awful lot like how it used to look when Baltimore had it going earlier in head coach John Harbaugh 's tenure .	65,74,ORG;85,91,DATETIME;153,162,TEAM;198,211,BOSS
Joe Flacco threw for a 363 yards and a pair of scores . Justin Tucker kicked four second - half field goals . Baltimore 's defense did the rest , keeping Ben Roethlisberger and Antonio Brown under wraps over the final 30 minutes as the Ravens ( 3 - 1 ) ended a three - game losing streak to the Steelers ( 1 - 2 - 1 ) .	0,10,PLAYER;56,69,PLAYER;110,119,TEAM;154,172,PLAYER;177,190,PLAYER;236,242,TEAM;295,303,TEAM
' ' You ca n't become a true Raven until you win in Pittsburgh , '' Weddle said . ' ' I ' ve officially become a Raven . What a great team win . ''	29,34,TEAM;52,62,CITY;68,74,PLAYER;113,118,TEAM
Pittsburgh managed just 47 yards in the second half , sputtering in a place the Steelers have so often soared . Not this time . Not on a night they converted just 2 of 12 third downs and did n't take a snap in Baltimore territory after halftime .	0,10,TEAM;80,88,TEAM;210,219,TEAM
' ' I just did n't make enough plays , point blank , '' Roethlisberger said . ' ' I 'll take ownership on this game . Squarely on me . ''	56,70,PLAYER
Two years ago , the Ravens fell on Brown 's ' ' Immaculate Extension '' on Christmas night . Last winter , Baltimore scored 38 at Heinz Field ... and got beat on a field goal in the final minute . Those memories have been hard to shake .	20,26,TEAM;35,40,PLAYER;48,68,PLAY;75,84,HOLIDAY;107,116,TEAM;130,141,VENUE
' ' I think it was all in the back of our heads , '' Weddle said . ' ' The way we ' ve lost here has not been fun . ''	53,59,PLAYER
