Myers kicks Jets - record 7 FGs in 42 - 34 win over Colts	0,5,PLAYER;12,16,TEAM;52,57,TEAM
EAST RUTHERFORD , N.J. ( AP ) The New York Jets pulled off the type of victory that even Broadway Joe could appreciate .	0,15,CITY;18,22,STATE;25,27,ORG;34,47,TEAM;89,101,PLAYER
With Joe Namath and the 1968 Super Bowl - winning squad watching , Jason Myers kicked a franchise - record seven field goals , Sam Darnold threw two touchdown passes , and the Jets held on to beat the Indianapolis Colts 42 - 34 on Sunday to win consecutive games for the first time in more than a year .	5,15,PLAYER;24,28,DATETIME;29,39,GAME;67,78,PLAYER;127,138,PLAYER;176,180,TEAM;201,219,TEAM;231,237,DATETIME
' ' The game was n't perfect , by no means , '' coach Todd Bowles said . ' ' With the growth of the team , we probably would 've lost this one a year ago or a couple of weeks ago . So , to win ugly , for us , is a pretty good thing . ''	54,65,BOSS
Morris Claiborne returned the first of three interceptions thrown by Andrew Luck for a touchdown as the Jets ( 3 - 3 ) moved to .500 by taking advantage of mistakes by the short - handed Colts ( 1 - 5 ) , who lost their fourth straight .	0,16,PLAYER;69,80,PLAYER;104,108,TEAM;187,192,TEAM
' ' It 's one of those bittersweet victories , '' Claiborne said . ' ' You played well enough to win the game , but you feel like you could 've played a lot better . You never want to give up that many points . ''	50,59,PLAYER
Darnold was 24 of 30 for 280 yards , with TD throws to Terrelle Pryor and Chris Herndon and an interception to give New York its first back - to - back victories since taking three in a row in Weeks 3 - 5 last season .	0,7,PLAYER;55,69,PLAYER;74,87,PLAYER;116,124,TEAM;193,204,DATETIME
' ' We 're definitely back in the thick of things , '' Darnold said . ' ' But at the same time , we 're not satisfied . ''	55,62,PLAYER
Myers hit field goals from 30 , 48 , 32 , 37 , 45 , 37 and 45 yards to break the Jets record previously held by Jim Turner ( 1968 ) - the kicker for the Super Bowl champions - and Bobby Howfield ( 1972 ) .	0,5,PLAYER;81,85,TEAM;112,122,PLAYER;125,129,DATETIME;153,163,GAME;180,194,PLAYER;197,201,DATETIME
' ' It 's more important that we got the win , '' Myers said , ' ' but being able to help out and do what I can that way , that 's what 's most important to me . ''	50,55,PLAYER
Myers ' 24 total points are the second - highest single - game total by a player who did not score a touchdown in NFL history . Only the Titans ' Rob Bironas , who holds the mark with eight field goals in a game , had more : 26 on Oct. 21 , 2007 .	0,5,PLAYER;114,117,ORG;137,143,TEAM;146,157,PLAYER;231,245,DATETIME
